CompoundName,ExperimentType,ChemicalFormula,Ionization,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,
DG(16:1_18:1),XIC,C37 H68 O5,ESI,610.54050047,NH4-Gain,+,1,13.180839989204475,,
DG(16:1_18:1),XIC,C37 H68 O5,ESI,615.49589647,Na-Gain,+,1,13.180839989204475,,
DG(12:0e_22:3),XIC,C37 H68 O4,ESI,599.50098147,Na-Gain,+,1,7.46,,
DG(34:3e),XIC,C37 H68 O4,ESI,577.5190364700001,H-Gain,+,1,10.099176457400377,,
DG(34:3e),XIC,C37 H68 O4,ESI,577.5190364700001,H-Gain,+,1,11.84190457338664,,
DG(34:4),XIC,C37 H64 O5,ESI,589.4826514700002,H-Gain,+,1,13.052,,
DG(34:4e),XIC,C37 H66 O4,ESI,575.50338647,H-Gain,+,1,8.182310693173639,,
DG(34:4e),XIC,C37 H66 O4,ESI,575.50338647,H-Gain,+,1,8.799573440074212,,
DG(34:4e),XIC,C37 H66 O4,ESI,575.50338647,H-Gain,+,1,9.841655380575865,,
DG(18:1_18:1),XIC,C39 H72 O5,ESI,638.5718004700001,NH4-Gain,+,1,15.42348722565958,,
DG(18:1_18:1),XIC,C39 H72 O5,ESI,643.5271964700001,Na-Gain,+,1,15.42348722565958,,
DG(36:3e),XIC,C39 H72 O4,ESI,622.5768854700001,NH4-Gain,+,1,17.929,,
DG(16:0_20:4),XIC,C39 H68 O5,ESI,617.51395147,H-Gain,+,1,15.33,,
DG(19:1_22:6),XIC,C44 H72 O5,ESI,703.5271964700001,Na-Gain,+,1,17.619049633302804,,
DG(42:3),XIC,C45 H82 O5,ESI,703.6235014700002,H-Gain,+,1,4.8545531144281835,,
DG(22:6_22:6),XIC,C47 H68 O5,ESI,730.54050047,NH4-Gain,+,1,7.599810352976823,,
LPC(12:0),XIC,C20 H42 O7 N1 P1,ESI,440.27716847000005,H-Gain,+,1,1.514675517248042,,
LPC(14:0),XIC,C22 H46 O7 N1 P1,ESI,468.30846847000004,H-Gain,+,1,2.014284845659719,,
LPC(14:0),XIC,C22 H46 O7 N1 P1,ESI,512.29939553,HCO2-Gain,-,1,2.014284845659719,,
LPC(14:0e),XIC,C22 H48 O6 N1 P1,ESI,454.32920347000004,H-Gain,+,1,1.671,,
LPC(14:1),XIC,C22 H44 O7 N1 P1,ESI,466.29281847000004,H-Gain,+,1,1.6362559485248969,,
LPC(14:1),XIC,C22 H44 O7 N1 P1,ESI,510.28374553000003,HCO2-Gain,-,1,1.6362559485248969,,
LPC(16:0),XIC,C24 H50 O7 N1 P1,ESI,518.3217134700001,Na-Gain,+,1,2.8864619141104253,,
LPC(16:0),XIC,C24 H50 O7 N1 P1,ESI,540.33069553,HCO2-Gain,-,1,2.8864619141104253,,
LPC(16:0),XIC,C24 H50 O7 N1 P1,ESI,496.3397684700001,H-Gain,+,1,2.8864619141104253,,
LPC(16:1),XIC,C24 H48 O7 N1 P1,ESI,538.3150455299999,HCO2-Gain,-,1,2.1618064267515997,,
LPC(16:1),XIC,C24 H48 O7 N1 P1,ESI,516.30606347,Na-Gain,+,1,2.1618064267515997,,
LPC(16:1),XIC,C24 H48 O7 N1 P1,ESI,494.32411847000003,H-Gain,+,1,2.1618064267515997,,
LPC(16:2),XIC,C24 H46 O7 N1 P1,ESI,492.30846847000004,H-Gain,+,1,1.7960531598550942,,
LPC(16:3),XIC,C24 H44 O7 N1 P1,ESI,490.29281847000004,H-Gain,+,1,1.524,,
LPC(17:0),XIC,C25 H52 O7 N1 P1,ESI,510.35541847,H-Gain,+,1,3.193807269291124,,
LPC(17:0),XIC,C25 H52 O7 N1 P1,ESI,510.35541847,H-Gain,+,1,3.7226058083190128,,
LPC(17:1),XIC,C25 H50 O7 N1 P1,ESI,508.3397684700001,H-Gain,+,1,2.5859099254782407,,
LPC(18:0),XIC,C26 H54 O7 N1 P1,ESI,568.3619955299998,HCO2-Gain,-,1,4.113731380145227,,
LPC(18:0),XIC,C26 H54 O7 N1 P1,ESI,546.35301347,Na-Gain,+,1,4.113731380145227,,
LPC(18:0),XIC,C26 H54 O7 N1 P1,ESI,524.37106847,H-Gain,+,1,4.113731380145227,,
LPC(18:1),XIC,C26 H52 O7 N1 P1,ESI,566.3463455299999,HCO2-Gain,-,1,3.0660222291817556,,
LPC(18:1),XIC,C26 H52 O7 N1 P1,ESI,544.33736347,Na-Gain,+,1,3.0660222291817556,,
