Name,Formula
PC(8:1e_10:1),C26 H50 O7 N1 P1
PC(9:0_22:1),C39 H76 O8 N1 P1
PC(9:0_24:2),C41 H78 O8 N1 P1
PC(9:0_9:0),C26 H52 O8 N1 P1
PE(10:0e_10:4),C25 H44 O7 N1 P1
PE(10:0e_22:0),C37 H76 O7 N1 P1
PE(10:0e_24:0),C39 H80 O7 N1 P1
PE(10:0e_6:0),C21 H44 O7 N1 P1
PE(10:0p_22:0),C37 H74 O7 N1 P1
PE(10:0p_24:0),C39 H78 O7 N1 P1
PE(10:0p_6:0),C21 H42 O7 N1 P1
PE(10:1e_10:0),C25 H50 O7 N1 P1
PE(12:0e_22:0),C39 H80 O7 N1 P1
PE(12:0e_23:1),C40 H80 O7 N1 P1
PE(12:0e_24:2),C41 H80 O7 N1 P1
PE(12:0p_22:0),C39 H78 O7 N1 P1
PE(12:0p_24:0),C41 H82 O7 N1 P1
PE(12:0p_24:2),C41 H78 O7 N1 P1
PE(12:0p_6:0),C23 H46 O7 N1 P1
PE(14:0_18:3),C37 H68 O8 N1 P1
PE(14:0p_23:1),C42 H82 O7 N1 P1
PE(14:0p_24:2),C43 H82 O7 N1 P1
PE(15:0_18:1),C38 H74 O8 N1 P1
PE(15:0_18:3),C38 H70 O8 N1 P1
PE(16:0_16:0),C37 H74 O8 N1 P1
PE(16:0_16:1),C37 H72 O8 N1 P1
PE(16:0_18:1),C39 H76 O8 N1 P1
PE(16:0_18:2),C39 H74 O8 N1 P1
PE(16:0_18:3),C39 H72 O8 N1 P1
PE(16:0_19:0),C40 H80 O8 N1 P1
PE(16:0_21:0),C42 H84 O8 N1 P1
PE(16:0_21:1),C42 H82 O8 N1 P1
PE(16:0_22:6),C43 H74 O8 N1 P1
PE(16:0_23:0),C44 H88 O8 N1 P1
PE(16:0e),C21 H44 O7 N1 P1
PE(16:0e_16:1),C37 H74 O7 N1 P1
PE(16:0e_18:1),C39 H78 O7 N1 P1
PE(16:0e_18:2),C39 H76 O7 N1 P1
PE(16:0p_18:1),C39 H76 O7 N1 P1
PE(16:1_14:0),C35 H68 O8 N1 P1
PE(16:1_16:1),C37 H70 O8 N1 P1
PE(16:1_17:0),C38 H74 O8 N1 P1
PE(16:1_18:1),C39 H74 O8 N1 P1
PE(16:1_18:2),C39 H72 O8 N1 P1
PE(16:1_18:3),C39 H70 O8 N1 P1
PE(16:1_19:0),C40 H78 O8 N1 P1
PE(16:1_20:1),C41 H78 O8 N1 P1
PE(16:1_21:1),C42 H80 O8 N1 P1
PE(16:1_22:6),C43 H72 O8 N1 P1
PE(16:1e_18:1),C39 H76 O7 N1 P1
PE(16:2_18:0),C39 H74 O8 N1 P1
PE(16:2_19:1),C40 H74 O8 N1 P1
PE(16:3_18:2),C39 H68 O8 N1 P1
PE(16:3_20:4),C41 H68 O8 N1 P1
PE(17:0_14:1),C36 H70 O8 N1 P1
PE(17:0_18:1),C40 H78 O8 N1 P1
PE(17:0_18:3),C40 H74 O8 N1 P1
PE(17:0_19:0),C41 H82 O8 N1 P1
PE(17:0_21:1),C43 H84 O8 N1 P1
PE(17:0e),C22 H46 O7 N1 P1
PE(17:1_16:0),C38 H74 O8 N1 P1
PE(17:1_18:1),C40 H76 O8 N1 P1
PE(17:1_20:5),C42 H72 O8 N1 P1
PE(17:1e),C22 H44 O7 N1 P1
PE(18:0),C23 H46 O8 N1 P1
PE(18:0_16:0),C39 H78 O8 N1 P1
PE(18:0_18:1),C41 H80 O8 N1 P1
PE(18:0_18:2),C41 H78 O8 N1 P1
PE(18:0_18:3),C41 H76 O8 N1 P1
PE(18:0e_16:1),C39 H78 O7 N1 P1
PE(18:0e_18:0),C41 H84 O7 N1 P1
PE(18:0e_18:1),C41 H82 O7 N1 P1
PE(18:0e_18:2),C41 H80 O7 N1 P1
PE(18:0e_18:3),C41 H78 O7 N1 P1
PE(18:0p_16:1),C39 H76 O7 N1 P1
PE(18:0p_18:1),C41 H80 O7 N1 P1
PE(18:0p_18:2),C41 H78 O7 N1 P1
PE(18:0p_18:3),C41 H76 O7 N1 P1
PE(18:1),C23 H44 O8 N1 P1
PE(18:1_18:1),C41 H78 O8 N1 P1
PE(18:1_18:2),C41 H76 O8 N1 P1
PE(18:1_18:3),C41 H74 O8 N1 P1
PE(18:1_20:5),C43 H74 O8 N1 P1
PE(18:1_21:0),C44 H86 O8 N1 P1
PE(18:1_21:1),C44 H84 O8 N1 P1
PE(18:1_22:0),C45 H88 O8 N1 P1
PE(18:1e_16:1),C39 H76 O7 N1 P1
PE(18:1e_18:1),C41 H80 O7 N1 P1
PE(18:1e_18:2),C41 H78 O7 N1 P1
PE(18:1e_18:3),C41 H76 O7 N1 P1
PE(18:1p_18:1),C41 H78 O7 N1 P1
PE(18:2_18:2),C41 H74 O8 N1 P1
PE(18:2e),C23 H44 O7 N1 P1
PE(18:2e_18:1),C41 H78 O7 N1 P1
PE(18:2e_19:0),C42 H82 O7 N1 P1
PE(18:2e_20:2),C43 H80 O7 N1 P1
PE(18:2e_20:3),C43 H78 O7 N1 P1
PE(18:2e_20:4),C43 H76 O7 N1 P1
PE(18:3_18:2),C41 H72 O8 N1 P1
PE(18:3_18:3),C41 H70 O8 N1 P1
PE(18:3_21:0),C44 H82 O8 N1 P1
PE(18:3_21:1),C44 H80 O8 N1 P1
PE(18:3e),C23 H42 O7 N1 P1
PE(18:4_18:2),C41 H70 O8 N1 P1
PE(18:4_18:3),C41 H68 O8 N1 P1
PE(19:0_18:1),C42 H82 O8 N1 P1
PE(19:0_18:2),C42 H80 O8 N1 P1
PE(19:0_18:3),C42 H78 O8 N1 P1
PE(19:1_16:0),C40 H78 O8 N1 P1
PE(19:1_16:1),C40 H76 O8 N1 P1
PE(19:1_17:0),C41 H80 O8 N1 P1
PE(19:1_18:1),C42 H80 O8 N1 P1
PE(19:1_18:4),C42 H74 O8 N1 P1
PE(19:1_20:5),C44 H76 O8 N1 P1
PE(20:0_16:1),C41 H80 O8 N1 P1
PE(20:0_18:1),C43 H84 O8 N1 P1
PE(20:0_18:2),C43 H82 O8 N1 P1
PE(20:0_18:3),C43 H80 O8 N1 P1
PE(20:0e),C25 H52 O7 N1 P1
PE(20:0e_14:2),C39 H76 O7 N1 P1
PE(20:0e_18:1),C43 H86 O7 N1 P1
PE(20:0e_18:2),C43 H84 O7 N1 P1
PE(20:0e_18:3),C43 H82 O7 N1 P1
PE(20:0p_18:1),C43 H84 O7 N1 P1
PE(20:1_18:1),C43 H82 O8 N1 P1
PE(20:1e),C25 H50 O7 N1 P1
PE(20:1e_18:1),C43 H84 O7 N1 P1
PE(20:1e_18:2),C43 H82 O7 N1 P1
PE(20:1p_18:1),C43 H82 O7 N1 P1
PE(20:2e_19:0),C44 H86 O7 N1 P1
PE(20:2e_19:1),C44 H84 O7 N1 P1
PE(20:3e),C25 H46 O7 N1 P1
PE(20:3e_19:0),C44 H84 O7 N1 P1
